# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	2.037649242908735836e+00	2.038025532305594023e+00	4.075942816706992211e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.151617591921322514e+00
1.355778894472361717e-01	2.037565160494205774e+00	2.034824307489543571e+00	4.070896468128356815e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.143285936112105716e+00
2.611557788944723346e-01	2.037336036559056485e+00	2.026138465535206823e+00	4.057181958869848337e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.120656460964111645e+00
3.867336683417085252e-01	2.036961951848001107e+00	2.012073188800436618e+00	4.034904187298735678e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.083939327947174291e+00
5.123115577889446604e-01	2.036443033737813657e+00	1.992796871035340533e+00	4.004232550143515645e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.033472454916669392e+00
6.378894472361807955e-01	2.035779458776579620e+00	1.968536434240634181e+00	3.965398248886005117e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.969714141903219584e+00
7.634673366834170416e-01	2.034971452578420603e+00	1.939571171877395139e+00	3.918690657862686777e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.893233282318502297e+00
8.890452261306531767e-01	2.034019289650196516e+00	1.906225418961859264e+00	3.864452853576794578e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.804697562188851023e+00
1.014623115577889312e+00	2.032923293175828761e+00	1.868860390921543102e+00	3.803076423961414321e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.704860108058785961e+00
1.140201005025125447e+00	2.031683834761584428e+00	1.827865550481465595e+00	3.734995691532228879e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.594545076775279568e+00
1.265778894472361582e+00	2.030301334143304715e+00	1.783649855631302517e+00	3.660681494282498338e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.474632684057105791e+00
1.391356783919597717e+00	2.028776258856180625e+00	1.736633214657138824e+00	3.580634672664677609e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	7.346044146177996836e+00
