# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	2.030491213898165892e+00	2.032572068415009703e+00	6.101545114532745728e+00	2.034541652412030555e+00	6.103283398668461146e+00	1.017090679137847431e+01	2.034072636631827358e+00	3.050741287593671203e+01
1.355778894472361717e-01	2.030485832078626540e+00	2.032474452768572526e+00	6.101314005902215065e+00	2.033666501591645748e+00	6.100367782919767556e+00	1.016290910644936041e+01	2.018405180737694149e+00	3.047962286244788288e+01
2.611557788944723346e-01	2.030471134937117395e+00	2.032208445879373215e+00	6.100684216046670549e+00	2.031283386748331754e+00	6.092429622469963668e+00	1.014116576050103369e+01	1.976372742124063997e+00	3.040461530870655338e+01
3.867336683417085252e-01	2.030447133443992414e+00	2.031774119670615164e+00	6.099655903105889010e+00	2.027397517046575892e+00	6.079489935740739703e+00	1.010582094498486327e+01	1.909767305480576161e+00	3.028435285947324829e+01
5.123115577889446604e-01	2.030413828330535075e+00	2.031171587860874261e+00	6.098229314294360215e+00	2.022017374431080317e+00	6.061582919030263916e+00	1.005710728950228727e+01	1.821345904641181734e+00	3.012186821809058301e+01
6.378894472361807955e-01	2.030371220367195750e+00	2.030401008118992934e+00	6.096404792329059852e+00	2.015154680193460557e+00	6.038755769629137404e+00	9.995341872141640494e+00	1.714610668831587637e+00	2.992104001161107263e+01
7.634673366834170416e-01	2.030319310498180485e+00	2.029462582014773808e+00	6.094182775344900271e+00	2.006824347943028997e+00	6.011068439992242496e+00	9.920920874091240904e+00	1.593545818511001855e+00	2.968632414839537148e+01
8.890452261306531767e-01	2.030258099861936394e+00	2.028356554923369082e+00	6.091563796690117272e+00	1.997044423961814363e+00	5.978593327045245154e+00	9.834313056998146507e+00	1.462342673884197142e+00	2.942247193336482880e+01
1.014623115577889312e+00	2.030187589796374148e+00	2.027083215904722735e+00	6.088548484664801030e+00	1.985836015334893734e+00	5.941414899391187276e+00	9.736052270699753208e+00	1.325141452607455861e+00	2.913426392839918577e+01
1.140201005025125447e+00	2.030107781840598147e+00	2.025642897560684830e+00	6.085137562210281459e+00	1.973223206317512801e+00	5.899629265685903512e+00	9.626729219786883007e+00	1.185812384810052800e+00	2.882628231821191989e+01
1.265778894472361582e+00	2.030018677735551336e+00	2.024035975870448034e+00	6.081331846551184306e+00	1.959232963471750688e+00	5.853343687924309258e+00	9.506982727101400243e+00	1.047790286416465211e+00	2.850273616507110575e+01
1.391356783919597717e+00	2.029920279424261231e+00	2.022262870004581270e+00	6.077132248790895197e+00	1.943895030172257288e+00	5.802676043803877803e+00	9.377490731100904142e+00	9.139680648920412986e-01	2.816734526818882145e+01
1.516934673366834074e+00	2.029812589051909644e+00	2.020324042117861207e+00	6.072539773460926327e+00	1.927241811141897188e+00	5.747754242700861660e+00	9.238961243113436694e+00	7.866471320299003311e-01	2.782328083361679560e+01
1.642512562814070209e+00	2.029695608965813136e+00	2.018219997121096565e+00	6.067555518024625449e+00	1.909308247733349395e+00	5.688715600105115122e+00	9.092123471459522932e+00	6.675371946575483495e-01	2.747315563806707317e+01
1.768090452261306345e+00	2.029569341715359521e+00	2.015951282432132619e+00	6.062180672335683695e+00	1.890131684721463978e+00	5.625706175608065962e+00	8.937719294174835127e+00	5.577946189411555622e-01	2.711905306992869313e+01
1.893668341708542480e+00	2.029433790051908826e+00	2.013518487706252635e+00	6.056416518051906728e+00	1.869751729413061225e+00	5.558880079723957479e+00	8.776495232696747806e+00	4.580873190756557523e-01	2.676258315671949006e+01
2.019246231155778393e+00	2.029288956928674281e+00	2.010922244546186732e+00	6.050264428004764383e+00	1.848210103915663538e+00	5.488398754946467228e+00	8.609195047408261914e+00	3.686744789703090830e-01	2.640495401472032810e+01
2.144824120603014528e+00	2.029134845500587758e+00	2.008163226191977735e+00	6.043725865525259699e+00	1.825550491434175582e+00	5.414430236502035143e+00	8.436553044193869866e+00	2.894908837350978481e-01	2.604704859308300513e+01
2.270402010050250663e+00	2.028971459124148335e+00	2.005242147190949620e+00	6.036802383726678656e+00	1.801818377484701195e+00	5.337148398259214943e+00	8.259288150683921970e+00	2.202277596618092137e-01	2.568949867613142146e+01
2.395979899497486798e+00	2.028798801357257542e+00	2.002159763048044550e+00	6.029495624744842353e+00	1.777060886927506855e+00	5.256732189192911520e+00	8.078098792817968388e+00	1.604044202290405285e-01	2.533275047831756766e+01
2.521557788944722933e+00	2.028616875959047938e+00	1.998916869856823597e+00	6.021807318936510001e+00	1.751326617726689072e+00	5.173364865686815861e+00	7.893658577541429189e+00	1.094274037933153365e-01	2.497711852950063260e+01
2.647135678391959068e+00	2.028425686889694379e+00	1.995514303911411158e+00	6.013739284036582866e+00	1.724665472342536532e+00	5.087233224791025243e+00	7.706612766312135321e+00	6.663595867819817331e-02	2.462282669696158166e+01
2.772713567839195203e+00	2.028225238310215506e+00	1.991952941299714341e+00	6.005293424274849023e+00	1.697128487654120166e+00	4.998526843339396564e+00	7.517575506781368766e+00	3.133453906959328406e-02	2.427003698072925886e+01
2.898291457286431339e+00	2.028015534582269908e+00	1.988233697478229089e+00	5.996471729452989230e+00	1.668767664294627862e+00	4.907437327578014319e+00	7.327127776441137996e+00	2.814321097339782338e-03	2.391886805092460833e+01
3.023869346733667918e+00	2.027796580267934967e+00	1.984357526828784524e+00	5.987276273982619301e+00	1.639635796260684453e+00	4.814157577667821819e+00	7.135815981943284037e+00	-1.963343230117445271e-02	2.356940630464995579e+01
3.149447236180904053e+00	2.027568380129478598e+00	1.980325422197570351e+00	5.977709215885173677e+00	1.609786301629844374e+00	4.718881071106685532e+00	6.944151150845494058e+00	-3.670906350185566824e-02	2.322171247829239249e+01
3.275025125628140188e+00	2.027330939129121656e+00	1.976138414416820144e+00	5.967772795754454407e+00	1.579273055188012975e+00	4.621801168774974045e+00	6.752608648329124996e+00	-4.909843556077621296e-02	2.287582658603173513e+01
3.400603015075376323e+00	2.027084262428788364e+00	1.971797571809527749e+00	5.957469335682703537e+00	1.548150223731277197e+00	4.523110446949801577e+00	6.561628349566118956e+00	-5.746692697357311252e-02	2.253177326319464768e+01
3.526180904522612458e+00	2.026828355389847847e+00	1.967303999677587401e+00	5.946801238151081748e+00	1.516472104765011597e+00	4.423000058262185341e+00	6.371615198512349032e+00	-6.245231737825854279e-02	2.218956863737980356e+01
3.651758793969848593e+00	2.026563223572844574e+00	1.962658839773757657e+00	5.935770984885465396e+00	1.484292969277730689e+00	4.321659124193896417e+00	6.182940085633812366e+00	-6.465639177763464474e-02	2.184922883555987028e+01
3.777336683417084728e+00	2.026288872737219915e+00	1.957863269757872393e+00	5.924381135678490118e+00	1.451666909218524815e+00	4.219274161331771467e+00	5.995940980129751630e+00	-6.463596324560166861e-02	2.151077936560802684e+01
3.902914572864320863e+00	2.026005308841024366e+00	1.952918502637708054e+00	5.912634327178799332e+00	1.418647690255652405e+00	4.116028543221466052e+00	5.810924256336940985e+00	-6.289457973641980615e-02	2.117426404873517143e+01
4.028492462311556999e+00	2.025712538040615573e+00	1.947825786194955722e+00	5.900533271648468414e+00	1.385288610340458693e+00	4.012101999294201526e+00	5.628166158943757047e+00	-5.987634460716554502e-02	2.083975201985528969e+01
4.154070351758793578e+00	2.025410566690354575e+00	1.942586402396734746e+00	5.888080755689620638e+00	1.351642364545895036e+00	3.907670151982773454e+00	5.447914357195066337e+00	-5.596302810287902968e-02	2.050734157039756766e+01
