# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.998099957304700691e+00	1.998257408650353950e+00	5.994672832781728467e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.991030198736783774e+00
1.355778894472361717e-01	1.998048312747501054e+00	1.996746177554901136e+00	5.988910536070023660e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.983705026372426516e+00
2.611557788944723346e-01	1.997907570385894838e+00	1.992634732375021533e+00	5.973250995380054107e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.963793298140970478e+00
3.867336683417085252e-01	1.997677763653399996e+00	1.985942491498930318e+00	5.947815829862548753e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.931436085014880177e+00
5.123115577889446604e-01	1.997358941661393494e+00	1.976700944447812525e+00	5.912801062767274907e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.886860948876481814e+00
6.378894472361807955e-01	1.996951172446615352e+00	1.964953337821415458e+00	5.868473489308623670e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.830377999576654702e+00
7.634673366834170416e-01	1.996454542979965385e+00	1.950754246613122689e+00	5.815165815641171854e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.762374605234260372e+00
8.890452261306531767e-01	1.995869159129519677e+00	1.934169038825739317e+00	5.753270734457322177e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.683308932412581171e+00
1.014623115577889312e+00	1.995195145609267806e+00	1.915273242505779683e+00	5.683234131150877388e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.593702519265924877e+00
1.140201005025125447e+00	1.994432645917369573e+00	1.894151825782823817e+00	5.605547634293066572e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.494132105993259074e+00
1.265778894472361582e+00	1.993581822264756997e+00	1.870898401700560099e+00	5.520740733509210685e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.385220957474526671e+00
1.391356783919597717e+00	1.992642855494356935e+00	1.845614370531159842e+00	5.429372686956856597e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.267629912982373597e+00
1.516934673366834074e+00	1.991615944991088405e+00	1.818408012862384515e+00	5.332024430366149481e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.142048388219622623e+00
1.642512562814070209e+00	1.990501308582739215e+00	1.789393547035732945e+00	5.229290681396631335e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	9.009185537015103051e+00
1.768090452261306345e+00	1.989299182431824464e+00	1.758690164502497044e+00	5.121772408629500895e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.869761755563821737e+00
1.893668341708542480e+00	1.988009820918534176e+00	1.726421056370335272e+00	5.010069805774794105e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.724500683063663331e+00
