# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.995467340490231667e+00	1.998407147325913957e+00	5.995122023923187271e+00	1.997511068393075462e+00	5.994342056341620761e+00	1.997775068392024567e+00	0.000000000000000000e+00	1.997862470486605346e+01
1.355778894472361717e-01	1.995455086987262261e+00	1.998163913700848004e+00	5.994506655889750846e+00	1.995091335736338900e+00	5.985384207765062747e+00	1.965958806603273379e+00	0.000000000000000000e+00	1.993456000668253481e+01
2.611557788944723346e-01	1.995421674102625831e+00	1.997501202155894662e+00	5.992830023988317656e+00	1.988511503163615579e+00	5.961043797019288881e+00	1.881798695549099953e+00	0.000000000000000000e+00	1.981710689597884567e+01
3.867336683417085252e-01	1.995367110445412262e+00	1.996419460665570522e+00	5.990093246318327402e+00	1.977811714463006298e+00	5.921519243299047552e+00	1.751995781623642223e+00	0.000000000000000000e+00	1.963320655681500426e+01
5.123115577889446604e-01	1.995291398911500425e+00	1.994919417871933387e+00	5.986298140443683913e+00	1.963057025827041446e+00	5.867130993084892054e+00	1.586392198994973191e+00	0.000000000000000000e+00	1.939308917513402264e+01
6.378894472361807955e-01	1.995194543360213624e+00	1.993002083489375353e+00	5.981447224812965757e+00	1.944336693843073727e+00	5.798316456784793793e+00	1.396646131555814296e+00	0.000000000000000000e+00	1.910894313384623899e+01
7.634673366834170416e-01	1.995076548701331776e+00	1.990668747005811090e+00	5.975543715310628556e+00	1.921763204761712807e+00	5.715623175984593907e+00	1.194815293716894100e+00	0.000000000000000000e+00	1.879349068548097179e+01
8.890452261306531767e-01	1.994937420907852976e+00	1.987920976005970175e+00	5.968591520800976546e+00	1.895471062239377780e+00	5.619700402389526062e+00	9.920990354827365909e-01	0.000000000000000000e+00	1.845872041782644146e+01
1.014623115577889312e+00	1.994777167018736197e+00	1.984760614133435963e+00	5.960595237713494754e+00	1.865615354299905215e+00	5.511289305798598548e+00	7.979107446416691118e-01	0.000000000000000000e+00	1.811494842360583846e+01
1.140201005025125447e+00	1.994595795139240790e+00	1.981189778697367343e+00	5.951560143686877247e+00	1.832370123664365469e+00	5.391212057215336806e+00	6.193517808701202165e-01	0.000000000000000000e+00	1.777027967927330465e+01
1.265778894472361582e+00	1.994393314440455534e+00	1.977210857929337262e+00	5.941492190287709363e+00	1.795926568406613910e+00	5.260360052658487717e+00	4.610689018974503672e-01	0.000000000000000000e+00	1.743045188562005521e+01
1.391356783919597717e+00	1.994169735158446644e+00	1.972826507896253467e+00	5.930397994821212215e+00	1.756491102047367692e+00	5.119681553077955805e+00	3.254182232294801080e-01	0.000000000000000000e+00	1.709898511623071471e+01
