# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.995840455758930654e+00	1.997785700510303242e+00	5.994715938284197243e+00	1.998890721936823933e+00	5.995010322479745746e+00	4.995584939837060645e+00	9.989042070741045443e-01	2.397673228588116956e+01
1.355778894472361717e-01	1.995832057299495865e+00	1.997626808767029249e+00	5.994328183677199995e+00	1.997394600367481399e+00	5.989748886902717118e+00	4.985188164502760699e+00	9.855070821977771622e-01	2.394562578371446193e+01
2.611557788944723346e-01	1.995809145912635030e+00	1.997193854532921309e+00	5.993271604317865098e+00	1.993322939325367305e+00	5.975435483347075305e+00	4.957049168932826433e+00	9.499455271008834245e-01	2.386202772346957346e+01
3.867336683417085252e-01	1.995771730731147997e+00	1.996487027862216657e+00	5.991546641413842522e+00	1.986691317430843817e+00	5.952140000111092455e+00	4.911699052079342209e+00	8.947284470091683151e-01	2.372906421663765286e+01
5.123115577889446604e-01	1.995719813215674598e+00	1.995506636132976741e+00	5.989154006791259199e+00	1.977525050650453142e+00	5.919975798780293452e+00	4.849975185498376362e+00	8.235771681450688719e-01	2.355143365921410137e+01
6.378894472361807955e-01	1.995653395201674174e+00	1.994253105473022591e+00	5.986094687226132471e+00	1.965859015445077018e+00	5.879098621734005548e+00	4.772981058105846053e+00	7.409665097344306783e-01	2.333490639292018898e+01
7.634673366834170416e-01	1.995572479004684485e+00	1.992726980426021477e+00	5.982369943659723965e+00	1.951737405524910818e+00	5.829705100398194340e+00	4.682035962690897613e+00	6.516232967637113349e-01	2.308577116846814548e+01
8.890452261306531767e-01	1.995477067436210117e+00	1.990928923500323577e+00	5.977981310123925418e+00	1.935213425442005253e+00	5.772030890263696534e+00	4.578618810561113861e+00	5.600658044840459704e-01	2.281031623181132062e+01
1.014623115577889312e+00	1.995367163807638455e+00	1.988859714617353003e+00	5.972930592425833574e+00	1.916348924439531309e+00	5.706348463095855195e+00	4.464310421731132905e+00	4.702450627682628337e-01	2.251441034288561127e+01
1.140201005025125447e+00	1.995242771931375669e+00	1.986520250462252113e+00	5.967219866599111633e+00	1.895213974597328432e+00	5.632964591730283743e+00	4.340738198988036700e+00	3.853179415215417514e-01	2.220321759582993337e+01
1.265778894472361582e+00	1.995103896121110942e+00	1.983911543738069883e+00	5.960851477125627795e+00	1.871886397870891283e+00	5.552217566946553440e+00	4.209526291397661879e+00	3.075526518082837835e-01	2.188104982500819773e+01
1.391356783919597717e+00	1.994950541191735427e+00	1.981034722324642283e+00	5.953828034930294777e+00	1.846451247104163862e+00	5.464474189050463337e+00	4.072253357157406661e+00	2.383463535699983649e-01	2.155133844532870668e+01
1.516934673366834074e+00	1.994782712459084673e+00	1.977891028343357505e+00	5.946152415152195836e+00	1.819000246498756912e+00	5.370126578931491146e+00	3.930419012993735972e+00	1.783239289768884239e-01	2.121669592335550547e+01
1.642512562814070209e+00	1.994600415739589794e+00	1.974481817129110972e+00	5.937827754695316429e+00	1.789631197338907631e+00	5.269588854483932217e+00	3.785419140560214668e+00	1.274850689252380875e-01	2.087903424887231196e+01
