# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.996039599715002000e+00	1.998437650432439261e+00	5.995455537042402305e+00	1.998267393886324683e+00	5.994382195705714622e+00	1.998210602316917939e+00	1.997964312331658387e+00	2.197875729143045831e+01
1.355778894472361717e-01	1.996029540286377912e+00	1.998243347209631038e+00	5.994973858661462707e+00	1.996423799597709214e+00	5.987795685045172789e+00	1.993732410742598216e+00	1.972444185119647697e+00	2.193964282666260246e+01
2.611557788944723346e-01	1.996002104517199616e+00	1.997713922961445121e+00	5.993661403152392708e+00	1.991408007004617398e+00	5.969884730903591397e+00	1.981604923611500757e+00	1.904573760790103432e+00	2.183484885294084776e+01
3.867336683417085252e-01	1.995957301180487420e+00	1.996849662098847400e+00	5.991518851550754476e+00	1.983243378346595698e+00	5.940756768025923229e+00	1.962037873695041235e+00	1.798808023924922228e+00	2.166917185882257613e+01
5.123115577889446604e-01	1.995895132286574558e+00	1.995651026210016665e+00	5.988547307767487560e+00	1.971967842398429038e+00	5.900585818060509524e+00	1.935363891463917074e+00	1.661806614846687458e+00	2.144981763303362499e+01
6.378894472361807955e-01	1.995815600449767135e+00	1.994118655104456295e+00	5.984748301846308571e+00	1.957633577295128768e+00	5.849610467407680758e+00	1.902025073111779818e+00	1.501671167971202925e+00	2.118562284318632294e+01
7.634673366834170416e-01	1.995718708984587142e+00	1.992253366173621032e+00	5.980123788374543281e+00	1.940306575827652980e+00	5.788131116984265745e+00	1.862555813093155876e+00	1.327093954197085424e+00	2.088618332363490993e+01
8.890452261306531767e-01	1.995604461920172490e+00	1.990056153552453688e+00	5.974676144389680310e+00	1.920066099405283166e+00	5.716506558977100028e+00	1.817563117581472376e+00	1.146551375870339173e+00	2.056102391169649835e+01
1.014623115577889312e+00	1.995472864003678959e+00	1.987528187097892696e+00	5.968408166828292671e+00	1.897004027845312635e+00	5.635149946605870319e+00	1.767705693299738812e+00	9.676463769229547429e-01	2.021891526260374050e+01
1.140201005025125447e+00	1.995323920701111309e+00	1.984670811187821071e+00	5.961323069527122875e+00	1.871224113414047485e+00	5.544524233089607179e+00	1.713673054738374502e+00	7.966591898906032476e-01	1.986739839254869011e+01
1.265778894472361582e+00	1.995157638197321281e+00	1.981485543342869748e+00	5.953424479782898793e+00	1.842841148648457716e+00	5.445137163988302831e+00	1.656165733718828692e+00	6.383202025758262232e-01	1.951253191025450562e+01
1.391356783919597717e+00	1.994974023395656326e+00	1.977974072673504446e+00	5.944716434477474110e+00	1.811980058414096817e+00	5.337535912705697605e+00	1.595877442213451625e+00	4.957824974544922658e-01	1.915884044133437314e+01
1.516934673366834074e+00	1.994773083917416701e+00	1.974138258155067049e+00	5.935203375775495616e+00	1.778774927388519833e+00	5.222301452125412524e+00	1.533479770287437427e+00	3.707494074694587249e-01	1.880942027511880710e+01
1.642512562814070209e+00	1.994554828101194888e+00	1.969980126733689829e+00	5.924890146402472801e+00	1.743367974692107136e+00	5.100042756136068611e+00	1.469609731792395513e+00	2.637038131991431555e-01	1.846614937705707149e+01
1.768090452261306345e+00	1.994319265002117314e+00	1.965501871266286837e+00	5.913781984511865986e+00	1.705908487716492949e+00	4.971390923291809649e+00	1.404860229770128255e+00	1.741876078929537885e-01	1.812995036945165594e+01
1.893668341708542480e+00	1.994066404390999692e+00	1.960705848298075704e+00	5.901884518150475323e+00	1.666551727326277987e+00	4.836993311237343107e+00	1.339773320477779306e+00	1.010878207558368463e-01	1.780106295063678701e+01
2.019246231155778393e+00	1.993796256753432194e+00	1.955594575681351532e+00	5.889203759332146682e+00	1.625457816538504519e+00	4.697507765047346240e+00	1.274836018358424639e+00	4.289695758046487006e-02	1.747929314929167077e+01
2.144824120603014528e+00	1.993508833288784476e+00	1.950170730039477274e+00	5.875746097730418782e+00	1.582790624526859258e+00	4.553597015581678953e+00	1.210478303914503728e+00	-2.073170466113159402e-03	1.716421843461560925e+01
2.270402010050250663e+00	1.993204145909147629e+00	1.944437144080305435e+00	5.861518294001403007e+00	1.538716657367862561e+00	4.405923315664344919e+00	1.147072965173499659e+00	-3.553396921240550843e-02	1.685533855298415773e+01
2.395979899497486798e+00	1.992882207238200420e+00	1.938396803763459131e+00	5.846527472748748622e+00	1.493403966361636082e+00	4.255143372694665693e+00	1.084936909904736124e+00	-5.911950599500108428e-02	1.655217122671644958e+01
2.521557788944722933e+00	1.992543030610009813e+00	1.932052845326139190e+00	5.830781115143169657e+00	1.447021084039965988e+00	4.101903626533501601e+00	1.024333616957660453e+00	-7.433617416535373557e-02	1.625429914444509194e+01
2.647135678391959068e+00	1.992186630067764419e+00	1.925408552172311216e+00	5.814287051209475088e+00	1.399735997140818089e+00	3.946835911501954008e+00	9.654764386450584990e-01	-8.255078947255425903e-02	1.596137979126482698e+01
2.772713567839195203e+00	1.991813020362439568e+00	1.918467351630341655e+00	5.797053451794601742e+00	1.351715164903856348e+00	3.790553531387251152e+00	9.085325118339785400e-01	-8.500262813403149098e-02	1.567313240377843897e+01
2.898291457286431339e+00	1.991422216951392654e+00	1.911232811584318680e+00	5.779088820230576573e+00	1.303122590048920726e+00	3.633647766738981044e+00	8.536270763958855312e-01	-8.282479421304304867e-02	1.538931648773703387e+01
3.023869346733667918e+00	1.991014235996896753e+00	1.903708636984476010e+00	5.760401983706795903e+00	1.254118948761665520e+00	3.476684824687445108e+00	8.008480324698976638e-01	-7.706272883866699397e-02	1.510971393376850891e+01
3.149447236180904053e+00	1.990589094364604739e+00	1.895898666242290309e+00	5.741002084366346736e+00	1.204860784949681740e+00	3.320203233209272575e+00	7.502505923268562027e-01	-6.868212053727099087e-02	1.483412233492178167e+01
3.275025125628140188e+00	1.990146809621947677e+00	1.887806867515969600e+00	5.720898570141529582e+00	1.155499772969101668e+00	3.164711674342620906e+00	7.018619005159584257e-01	-5.856389388718970246e-02	1.456236170121993645e+01
3.400603015075376323e+00	1.989687400036468379e+00	1.879437334892184452e+00	5.700101185343967813e+00	1.106182051974905489e+00	3.010687244409110619e+00	6.556855106327922345e-01	-4.748904572289344705e-02	1.429429168156653596e+01
3.526180904522612458e+00	1.989210884574088345e+00	1.870794284470000290e+00	5.678619961025025198e+00	1.057047634034771422e+00	2.858574123882513085e+00	6.117056216626993725e-01	-3.611972070287636227e-02	1.402983278894622288e+01
3.651758793969848593e+00	1.988717282897310756e+00	1.861882050353093510e+00	5.656465205122479745e+00	1.008229887180905671e+00	2.708782635166483210e+00	5.698909936343533600e-01	-2.498434977161849771e-02	1.376898370458300747e+01
3.777336683417084728e+00	1.988206615363357965e+00	1.852705080556404482e+00	5.633647492409573410e+00	9.598550936689691504e-01	2.561688663181372227e+00	5.301984819124431203e-01	-1.447368926963325982e-02	1.351182773782248425e+01
3.902914572864320863e+00	1.987678903022246146e+00	1.843267932833470457e+00	5.610177654262749947e+00	9.120420828775626099e-01	2.417633411260454501e+00	4.925761508916851050e-01	-4.851464865931838163e-03	1.325852467028223813e+01
