# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.996494525763871541e+00	1.998658342404097343e+00	5.995306241003622638e+00	1.997699851461419485e+00	5.993909935440843384e+00	9.990886837300935186e-01	1.997869009326925349e+00	2.097902658913087492e+01
1.355778894472361717e-01	1.996483447160217306e+00	1.998441628610807763e+00	5.994763932592887201e+00	1.995603795749073539e+00	5.986304681666009486e+00	9.962452175581116842e-01	1.969742647685005732e+00	2.093758535102211127e+01
2.611557788944723346e-01	1.996453234986477199e+00	1.997851155842647497e+00	5.993286313277008226e+00	1.989902441661890009e+00	5.965630297603332188e+00	9.885574959276194340e-01	1.895106987940443632e+00	2.082678792723941896e+01
3.867336683417085252e-01	1.996403897909529324e+00	1.996887278587353043e+00	5.990874248256622181e+00	1.980625939386746470e+00	5.932029770963446857e+00	9.761929047240245350e-01	1.779293000582534257e+00	2.065230704041025334e+01
5.123115577889446604e-01	1.996335438327704548e+00	1.995550572876801709e+00	5.987529142248463998e+00	1.967823199870491147e+00	5.885734421606814593e+00	9.594150017707513411e-01	1.630212306520806065e+00	2.042260008322183396e+01
6.378894472361807955e-01	1.996247859401607316e+00	1.993841837059860511e+00	5.983252941971039185e+00	1.951561431124008594e+00	5.827060803177960047e+00	9.385703760118688788e-01	1.457384904227615241e+00	2.014792015297395977e+01
7.634673366834170416e-01	1.996141165145883578e+00	1.991762090899118709e+00	5.978048133828881561e+00	1.931925504225674439e+00	5.756406503445639977e+00	9.140721718455399047e-01	1.270872737355404070e+00	1.983922830674613991e+01
8.890452261306531767e-01	1.996015360442838338e+00	1.989312574397117617e+00	5.971917740896525828e+00	1.909017158945871317e+00	5.674244938870863564e+00	8.863816803853309390e-01	1.080295390517525655e+00	1.950718484445607359e+01
1.014623115577889312e+00	1.995870451045541838e+00	1.986494746368166808e+00	5.964865319248911391e+00	1.882954060781917738e+00	5.581119258357502666e+00	8.559894275267257990e-01	8.940586603720652725e-01	1.916135192370083118e+01
1.140201005025125447e+00	1.995706443578447953e+00	1.983310282760104792e+00	5.956894953650602176e+00	1.853868723210616576e+00	5.477635487793349967e+00	8.233970528564675817e-01	7.188627691341858972e-01	1.880967571298377550e+01
