# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.996293875096059045e+00	1.998110596172878006e+00	5.994652447956982044e+00	1.998318952905555168e+00	3.996407068113545957e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.598378294024502111e+01
1.355778894472361717e-01	1.996274415568264793e+00	1.997691776927842389e+00	5.993520533375006565e+00	1.992942084657667312e+00	3.980404222401637604e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.596083303293042022e+01
2.611557788944723346e-01	1.996221369557154901e+00	1.996550879650714982e+00	5.990437191258605409e+00	1.978364873654054668e+00	3.937163822891449616e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.589873813701197847e+01
3.867336683417085252e-01	1.996134746825000361e+00	1.994689254237663967e+00	5.985406304587341353e+00	1.954796431306643267e+00	3.867699181125757057e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.579872591808240756e+01
5.123115577889446604e-01	1.996014554427139931e+00	1.992109099915806869e+00	5.978434197799360916e+00	1.922571710249093124e+00	3.773610129718804274e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.566273969211020578e+01
6.378894472361807955e-01	1.995860802025762881e+00	1.988813461224083978e+00	5.969529622842523864e+00	1.882142387636814407e+00	3.657008524322821863e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.549335479805200677e+01
7.634673366834170416e-01	1.995673501957731188e+00	1.984806221047302754e+00	5.958703735870932050e+00	1.834064801987089988e+00	3.520423524650323266e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.529367178551337858e+01
8.890452261306531767e-01	1.995452669242897992e+00	1.980092091735323079e+00	5.945970067578215001e+00	1.778985468527270575e+00	3.366693779495801397e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.506719407657950782e+01
1.014623115577889312e+00	1.995198321584042089e+00	1.974676604351023324e+00	5.931344487334051507e+00	1.717624782325381183e+00	3.198854059228028568e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.481769825482252756e+01
1.140201005025125447e+00	1.994910479364499389e+00	1.968566096088876893e+00	5.914845161293399656e+00	1.650759565553950203e+00	3.020023522508289648e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.454910482480901734e+01
1.265778894472361582e+00	1.994589165644743423e+00	1.961767695911768472e+00	5.896492504672026236e+00	1.579205124253381998e+00	2.833301809567501106e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.426535630004942234e+01
1.391356783919597717e+00	1.994234406158263528e+00	1.954289308459947527e+00	5.876309128406902893e+00	1.503797453304649867e+00	2.641677729658137963e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.397030802598790089e+01
1.516934673366834074e+00	1.993846229306870388e+00	1.946139596292104201e+00	5.854319780443749011e+00	1.425376170861033298e+00	2.447953687904276254e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.366763546480803271e+01
1.642512562814070209e+00	1.993424666155457325e+00	1.937327960524330761e+00	5.830551281916092954e+00	1.344768681870790239e+00	2.254687393396303641e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.336075998386297314e+01
1.768090452261306345e+00	1.992969750426259568e+00	1.927864519938160770e+00	5.805032458500540393e+00	1.262775972171307215e+00	2.064150976348547051e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.305279367738481433e+01
1.893668341708542480e+00	1.992481518492607240e+00	1.917760088633899240e+00	5.777794067251181609e+00	1.180160327765323425e+00	1.878306525323325316e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.274650252746633505e+01
2.019246231155778393e+00	1.991960009372185869e+00	1.907026152310049127e+00	5.748868719232367752e+00	1.097635165620400421e+00	1.698796279366185047e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.244428632590118866e+01
