# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.995300712165273938e+00	1.997783522383797195e+00	5.994676164712843480e+00	1.999263752744595113e+00	5.995450052602773638e+00	5.994768642498159217e+00	1.998119609189305201e+00	2.597536245629674667e+01
1.355778894472361717e-01	1.995293600505020359e+00	1.997651125515333081e+00	5.994357005375110070e+00	1.998057868057588671e+00	5.991320898464389977e+00	5.987576273512409841e+00	1.979013048417345821e+00	2.594326981984719893e+01
2.611557788944723346e-01	1.995274193849453814e+00	1.997290354657323297e+00	5.993487311613567847e+00	1.994775170993562163e+00	5.980083367680141038e+00	5.968044065139742393e+00	1.927919726609604423e+00	2.585687419054339742e+01
3.867336683417085252e-01	1.995242501809071811e+00	1.996701342131848023e+00	5.992067383441781914e+00	1.989425704813498674e+00	5.961780087570071274e+00	5.936361176686679286e+00	1.847456399563321305e+00	2.571903459601627162e+01
5.123115577889446604e-01	1.995198525490857522e+00	1.995884300840288450e+00	5.990097701468968694e+00	1.982025806247116995e+00	5.936480309258427290e+00	5.892831291063384214e+00	1.741605806247051857e+00	2.553412374061609569e+01
6.378894472361807955e-01	1.995142266223459249e+00	1.994839525962257776e+00	5.987578932002420196e+00	1.972598014986019166e+00	5.904279395979846967e+00	5.837865341814434395e+00	1.615345959461404135e+00	2.530764943642984477e+01
7.634673366834170416e-01	1.995073725671385301e+00	1.993567394775907609e+00	5.984511926650097458e+00	1.961170948464923347e+00	5.865298120160652218e+00	5.771971903621802902e+00	1.474218116835268821e+00	2.504581213618003943e+01
8.890452261306531767e-01	1.994992905852323695e+00	1.992068366401198665e+00	5.980897721732894468e+00	1.947779143596974460e+00	5.819681779646777464e+00	5.695745674289122817e+00	1.323891182223616347e+00	2.475505677374291125e+01
1.014623115577889312e+00	1.994899809141489566e+00	1.990342981484185980e+00	5.976737537559619895e+00	1.932462866861999418e+00	5.767599144087919072e+00	5.609854536919387513e+00	1.169772842355051523e+00	2.444166971840964919e+01
1.140201005025125447e+00	1.994794438272987191e+00	1.988391861824796436e+00	5.972032777571829598e+00	1.915267894407792548e+00	5.709241244420494965e+00	5.515025719642480340e+00	1.016703002473500428e+00	2.411145693861388395e+01
1.265778894472361582e+00	1.994676796340239200e+00	1.986215709948959462e+00	5.966785027360805849e+00	1.896245264068665115e+00	5.644820020089275303e+00	5.412031566497344848e+00	8.687474801351160458e-01	2.376952186444040649e+01
1.391356783919597717e+00	1.994546886796060736e+00	1.983815308625704210e+00	5.960996053558242025e+00	1.875451001425743724e+00	5.574566840071200957e+00	5.301675400577310349e+00	7.290934517379882296e-01	2.342014494279224834e+01
1.516934673366834074e+00	1.994404713452568867e+00	1.981191520329817379e+00	5.954667802602111593e+00	1.852945822227118677e+00	5.498730914894331079e+00	5.184777905082107452e+00	6.000354544865335038e-01	2.306675413307458911e+01
1.642512562814070209e+00	1.994250280480998727e+00	1.978345286650687651e+00	5.947802399379234828e+00	1.828794813650879592e+00	5.417577617667932444e+00	5.062164376493317519e+00	4.830328640607819413e-01	2.271196763838383603e+01
1.768090452261306345e+00	1.994083592411468375e+00	1.975277627648021506e+00	5.940402145746218388e+00	1.803067097028876242e+00	5.331386732652270588e+00	4.934653124027674309e+00	3.788164616178233413e-01	2.235768678113235097e+01
1.893668341708542480e+00	1.993904654132696574e+00	1.971989641155163175e+00	5.932469518930548524e+00	1.775835474752736731e+00	5.240450650101836416e+00	4.803045207664494498e+00	2.875220226622168807e-01	2.200521716939969252e+01
2.019246231155778393e+00	1.993713470891690598e+00	1.968482502030814318e+00	5.924007169813769735e+00	1.747176064155788522e+00	5.145072526024101478e+00	4.668115629131287747e+00	2.088316380326669941e-01	2.165539900008011998e+01
2.144824120603014528e+00	1.993510048293400949e+00	1.964757461359994295e+00	5.915017921098785436e+00	1.717167921205183356e+00	5.045564425124131169e+00	4.530606020539171830e+00	1.421076419180448414e-01	2.130873143953871107e+01
2.270402010050250663e+00	1.993294392300350326e+00	1.960815845605154983e+00	5.905504765363492226e+00	1.685892656848155813e+00	4.942245464575997893e+00	4.391218816565505279e+00	8.650872433089618063e-02	2.096548066558955270e+01
2.395979899497486798e+00	1.993066509232235717e+00	1.956659055708388051e+00	5.895470863003041018e+00	1.653434048836026182e+00	4.835439975401926382e+00	4.250612849353236022e+00	4.108243418050869233e-02	2.062576573571536187e+01
2.521557788944722933e+00	1.992826405765504960e+00	1.952288566145751414e+00	5.884919540063171084e+00	1.619877651800624152e+00	4.725475697180194778e+00	4.109400270533907218e+00	4.832424810193505262e-03	2.028962055629934724e+01
2.647135678391959068e+00	1.992574088932907994e+00	1.947705923934752503e+00	5.873854285967170519e+00	1.585310408282058825e+00	4.612682020576063024e+00	3.968144680949570180e+00	-2.323780413114533497e-02	1.995703360451137698e+01
2.772713567839195203e+00	1.992309566123023012e+00	1.942912747596108325e+00	5.862278751139133881e+00	1.549820263306259216e+00	4.497388290830993007e+00	3.827360334144797260e+00	-4.410042611082572866e-02	1.962796952702948516e+01
2.898291457286431339e+00	1.992032845079761749e+00	1.937910726070922074e+00	5.850196744526291681e+00	1.513495784987815895e+00	4.379922183889132903e+00	3.687512272693043158e+00	-5.869236845628490046e-02	1.930237818879068357e+01
3.023869346733667918e+00	1.991743933901845676e+00	1.932701617594482890e+00	5.837612231023298293e+00	1.476425793490929950e+00	4.260608165320495466e+00	3.549017255130462623e+00	-6.791188796746282230e-02	1.898019710849405328e+01
3.149447236180904053e+00	1.991442841042260659e+00	1.927287248527915553e+00	5.824529328801467010e+00	1.438699000521418192e+00	4.139766040650482815e+00	3.412245334152677945e+00	-7.261725510411462525e-02	1.866135253859210863e+01
3.275025125628140188e+00	1.991129575307689414e+00	1.921669512148967307e+00	5.810952306546015578e+00	1.400403661348531559e+00	4.017709604155562886e+00	3.277521952577729270e+00	-7.362368678392831878e-02	1.834576292530056918e+01
3.400603015075376323e+00	1.990804145857916652e+00	1.915850367403244547e+00	5.796885580604499211e+00	1.361627241169693248e+00	3.894745391662790102e+00	3.145130431528003978e+00	-7.169668110732697885e-02	1.803334647711881900e+01
3.526180904522612458e+00	1.990466562205214673e+00	1.909831837617253614e+00	5.782333712049684493e+00	1.322456097436928824e+00	3.771171541420504258e+00	3.015314734762343907e+00	-6.754195674389674997e-02	1.772403252874803314e+01
3.651758793969848593e+00	1.990116834213699892e+00	1.903616009174633694e+00	5.767301403660169079e+00	1.282975179563562218e+00	3.647276765709522639e+00	2.888282403723859026e+00	-6.179385065437321273e-02	1.741777474539107473e+01
3.777336683417084728e+00	1.989754972098673802e+00	1.897205030156996486e+00	5.751793496822177332e+00	1.243267747226327158e+00	3.523339434555196270e+00	2.764207569388446917e+00	-5.500495751703786407e-02	1.711456329273077870e+01
3.902914572864320863e+00	1.989380986425932196e+00	1.890601108950829223e+00	5.735814968355967380e+00	1.203415108273921730e+00	3.399626771693543326e+00	2.643233959154207557e+00	-4.763984453588758494e-02	1.681443305831851376e+01
4.028492462311556999e+00	1.988994888111057069e+00	1.883806512821925905e+00	5.719370927270398752e+00	1.163496377050587949e+00	3.276394161848418474e+00	2.525477829527825513e+00	-4.007486979249366699e-02	1.651746582683772147e+01
4.154070351758793578e+00	1.988596688418683867e+00	1.876823566458855286e+00	5.702466611449223066e+00	1.123588253744654208e+00	3.153884567396791017e+00	2.411030767931344077e+00	-3.260467677806596493e-02	1.622378577862148319e+01
4.279648241206029269e+00	1.988186398961742540e+00	1.869654650486987979e+00	5.685107384272729547e+00	1.083764825179110769e+00	3.032328051637880773e+00	2.299962319252844445e+00	-2.545420262303920572e-02	1.593354942716825740e+01
4.405226130653265848e+00	1.987764031700681500e+00	1.862302199954618764e+00	5.667298731178431304e+00	1.044097387275891853e+00	2.911941405138505967e+00	2.192322404512097922e+00	-1.879349955210033243e-02	1.564693266020812779e+01
4.530804020100501539e+00	1.987329598942663811e+00	1.854768702792755963e+00	5.649046256164474755e+00	1.004654289249102161e+00	2.792927870998323847e+00	2.088143509998754421e+00	-1.275180011257213801e-02	1.536411842803350325e+01
4.656381909547738118e+00	1.986883113340742302e+00	1.847056698250142404e+00	5.630355678239529205e+00	9.655007994161778351e-01	2.675476964359512433e+00	1.987442635359087051e+00	-7.427383148107388408e-03	1.508528850581708625e+01
4.781959798994973809e+00	1.986424587893013127e+00	1.839168775305108472e+00	5.611232827822905556e+00	9.266989923609553204e-01	2.559764381069087325e+00	1.890222998348381811e+00	-2.890981333814857199e-03	1.481062158146563590e+01
4.907537688442210388e+00	1.985954035941744023e+00	1.831107571055849315e+00	5.591683643098701140e+00	8.883076570395683769e-01	2.445951990080493132e+00	1.796475502381221556e+00	8.175393190194065341e-04	1.454029793891659850e+01
5.033115577889446079e+00	1.985471471172483238e+00	1.822875769090738673e+00	5.571714166327745410e+00	8.503822252896275913e-01	2.334187903945792897e+00	1.706179980655226469e+00	3.697227263827049162e-03	1.427450874374544298e+01
5.158693467336682659e+00	1.984976907613143826e+00	1.814476097840292290e+00	5.551330540121160340e+00	8.129747200855752531e-01	2.224606621591612043e+00	1.619306237487348143e+00	5.794945332111739282e-03	1.401346607007124412e+01
