# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.998010546699901635e+00	1.998227988004606326e+00	1.998247835141560236e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.994486369846068641e+00
1.355778894472361717e-01	1.997859797912848290e+00	1.993478625690514150e+00	1.992170327791454421e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.983508751394817082e+00
2.611557788944723346e-01	1.997449058401786326e+00	1.980602955479777716e+00	1.975739255636377090e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.953791269517941132e+00
3.867336683417085252e-01	1.996778584970502202e+00	1.959786390753695873e+00	1.949313753788754378e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.905878729512952674e+00
5.123115577889446604e-01	1.995848793376983288e+00	1.931325460971732522e+00	1.913460561590996312e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.840634815939711899e+00
6.378894472361807955e-01	1.994660259651358736e+00	1.895619120940472913e+00	1.868927307625333656e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.759206688217164860e+00
7.634673366834170416e-01	1.993213719293903230e+00	1.853157323828215519e+00	1.816608637998098130e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.662979681120217101e+00
8.890452261306531767e-01	1.991510066224516651e+00	1.804507415408046045e+00	1.757507808098025315e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.553525289730588455e+00
1.014623115577889312e+00	1.989550351504864256e+00	1.750298986432528681e+00	1.692696497849818904e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.432545835787212063e+00
1.140201005025125447e+00	1.987335781838714510e+00	1.691207855245854486e+00	1.623275463701458143e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.301819100786026695e+00
1.265778894472361582e+00	1.984867717854836400e+00	1.627939844102904710e+00	1.550338261548421581e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.163145823506162913e+00
1.391356783919597717e+00	1.982147672177045905e+00	1.561214964648857784e+00	1.474939741881705846e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	5.018302378707609535e+00
1.516934673366834074e+00	1.979177307286435150e+00	1.491752548047639237e+00	1.398070416568161445e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.869000271902235610e+00
1.642512562814070209e+00	1.975958433181298712e+00	1.420257752656746142e+00	1.320637202524916676e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.716853388362961752e+00
1.768090452261306345e+00	1.972493004840759845e+00	1.347409767001288783e+00	1.243450519948158473e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.563353291790207322e+00
