# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.994314220719002773e+00	1.997324703150586966e+00	5.994436016362289621e+00	1.999288042881464778e+00	5.995777495218798769e+00	6.993881892150762170e+00	1.998164059167589990e+00	2.697318642965049307e+01
1.355778894472361717e-01	1.994307644956875514e+00	1.997203155215293569e+00	5.994144522746354120e+00	1.998186772983821857e+00	5.992036127197127193e+00	6.986421470431388947e+00	1.980149210507970325e+00	2.694244890403883019e+01
2.611557788944723346e-01	1.994289697728052868e+00	1.996871942595285665e+00	5.993350206133733593e+00	1.995188575704516687e+00	5.981852671320567083e+00	6.966154108116954902e+00	1.931929760003971097e+00	2.685963696160308345e+01
3.867336683417085252e-01	1.994260388906110792e+00	1.996331177161799975e+00	5.992053317765614118e+00	1.990301832368240653e+00	5.965262191188104524e+00	6.933256308648520161e+00	1.855854780688614092e+00	2.672731999672700454e+01
5.123115577889446604e-01	1.994219719470222474e+00	1.995581038307026933e+00	5.990254258244306129e+00	1.983540180573758027e+00	5.942321676160486454e+00	6.888011880114160768e+00	1.755510804788817492e+00	2.654943955765877561e+01
6.378894472361807955e-01	1.994167690563774187e+00	1.994621774757450394e+00	5.987953582965336530e+00	1.974922445108924007e+00	5.913109658574226657e+00	6.830805748660561783e+00	1.635401703615161795e+00	2.633098260424543469e+01
7.634673366834170416e-01	1.994104303612948215e+00	1.993453704441781937e+00	5.985152001835962743e+00	1.964472542076165729e+00	5.877725686627849555e+00	6.762115748738475318e+00	1.500572828144308479e+00	2.607759681547749153e+01
8.890452261306531767e-01	1.994029560344727114e+00	1.992077214293852094e+00	5.981850378831787829e+00	1.952219357592738902e+00	5.836289660593021011e+00	6.682502726729141251e+00	1.356228006572378186e+00	2.579519690495764905e+01
1.014623115577889312e+00	1.993943462791445187e+00	1.990492760009196171e+00	5.978049731446668957e+00	1.938196602053628315e+00	5.788941039896011276e+00	6.592599345284230417e+00	1.207382505876943402e+00	2.548960544735812306e+01
1.140201005025125447e+00	1.993846013292239316e+00	1.988700865757803138e+00	5.973751230043057525e+00	1.922442641129660901e+00	5.735837929961697057e+00	6.493098003504803373e+00	1.058583393499087144e+00	2.516626007718835112e+01
1.265778894472361582e+00	1.993737214493541909e+00	1.986702123853775870e+00	5.968956197104837713e+00	1.905000304848685655e+00	5.677156058916094317e+00	6.384738291576314673e+00	9.137143587861059624e-01	2.483000454957935688e+01
1.391356783919597717e+00	1.993617069349211013e+00	1.984497194382386587e+00	5.963666106393842092e+00	1.885916676267582304e+00	5.613087655274827448e+00	6.268294379799694838e+00	7.758882224607185352e-01	2.448496730392826137e+01
1.516934673366834074e+00	1.993485581120486794e+00	1.982086804784947365e+00	5.957882582011124306e+00	1.865242861385349560e+00	5.543840238589520020e+00	6.144562704834350519e+00	6.474193275063030439e-01	2.413452010023208061e+01
1.642512562814070209e+00	1.993342753375874299e+00	1.979471749401963354e+00	5.951607397364075958e+00	1.843033742071167769e+00	5.469635335672390575e+00	6.014350265138038942e+00	5.298607793252517739e-01	2.378130202234876123e+01
1.768090452261306345e+00	1.993188589990958715e+00	1.976652888975035216e+00	5.944842474040515690e+00	1.819347713885068663e+00	5.390707135466792366e+00	5.878463778207136947e+00	4.240880588443239341e-01	2.342729063940983281e+01
1.893668341708542480e+00	1.993023095148197088e+00	1.973631150108050569e+00	5.937589880591044533e+00	1.794246410751872967e+00	5.307301095878182551e+00	5.737699889303295997e+00	3.304102058423351029e-01	2.307390172762297809e+01
2.019246231155778393e+00	1.992846273336667418e+00	1.970407524688212453e+00	5.929851831220960712e+00	1.767794418510983290e+00	5.219672515930109391e+00	5.592836559319843914e+00	2.486916572871914755e-01	2.272210078029396740e+01
2.144824120603014528e+00	1.992658129351803975e+00	1.966983069267516537e+00	5.921630684393206501e+00	1.740058979405256556e+00	5.128085086471760867e+00	5.444625701815369645e+00	1.784710495522217888e-01	2.237251270025713623e+01
2.270402010050250663e+00	1.992458668295101099e+00	1.963358904405309913e+00	5.912928941343831291e+00	1.711109689591758132e+00	5.032809432349306888e+00	5.293787088494595672e+00	1.190671289596282462e-01	2.202551985343953334e+01
2.395979899497486798e+00	1.992247895573800998e+00	1.959536213972618013e+00	5.903749244511630856e+00	1.681018191756112889e+00	4.934121658477575778e+00	5.141003499965505874e+00	6.966581916457453838e-02	2.168134252342181867e+01
2.521557788944722933e+00	1.992025816900559354e+00	1.955516244418948668e+00	5.894094375883617509e+00	1.649857864891219217e+00	4.832301911629171443e+00	4.986917064920500131e+00	2.938608829518492976e-02	2.134009936693919940e+01
2.647135678391959068e+00	1.991792438293088496e+00	1.951300304002326902e+00	5.883967255258138351e+00	1.617703513261184556e+00	4.727632969014267772e+00	4.832126705698298608e+00	-2.674706511464078774e-03	2.100184847901584106e+01
