# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.996766349273814356e+00	1.997903686712413585e+00	5.994603674485333045e+00	1.998220428786320779e+00	1.998231907748550862e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.398572604700643218e+01
1.355778894472361717e-01	1.996740679339684243e+00	1.997314550315052228e+00	5.992919412105946364e+00	1.989373096656986029e+00	1.983785427241037125e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.396013316565870532e+01
2.611557788944723346e-01	1.996670711684971566e+00	1.995709987290158471e+00	5.988332573041520668e+00	1.965470015456963981e+00	1.945009760438252133e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.389119304791186593e+01
3.867336683417085252e-01	1.996556458512380727e+00	1.993092700438868325e+00	5.980851970866345901e+00	1.927079546413199340e+00	1.883506808555701184e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.378108748478649659e+01
5.123115577889446604e-01	1.996397932002283548e+00	1.989467092029182593e+00	5.970491952865742746e+00	1.875100488674759092e+00	1.801742338892624140e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.363319980446459212e+01
6.378894472361807955e-01	1.996195148942439657e+00	1.984839250132180322e+00	5.957272342664228226e+00	1.810722050754345114e+00	1.702851231547813260e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.345188002404100658e+01
7.634673366834170416e-01	1.995948130784529484e+00	1.979216928583764190e+00	5.941218357874014089e+00	1.735372559784209789e+00	1.590405173705129682e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.324216115073164701e+01
8.890452261306531767e-01	1.995656903648108882e+00	1.972609521529540277e+00	5.922360505765171368e+00	1.650660477417706051e+00	1.468170562762874720e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.300945797112340152e+01
1.014623115577889312e+00	1.995321498316541042e+00	1.965028032701402028e+00	5.900734457745950401e+00	1.558311583968753133e+00	1.339882110155624639e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.275927768288827124e+01
1.140201005025125447e+00	1.994941950230201266e+00	1.956485039595190267e+00	5.876380903569575764e+00	1.460106119301950667e+00	1.209051757172660002e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.249696576986957730e+01
1.265778894472361582e+00	1.994518299478058143e+00	1.946994652744747922e+00	5.849345386319933837e+00	1.357819277568936167e+00	1.078824714898104942e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.222750233100978079e+01
