# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.994078913981597756e+00	1.997082834174517707e+00	5.993731355199597211e+00	1.999126159249017265e+00	5.995738461089402449e+00	7.993117155822235809e+00	1.998162359385160514e+00	2.797103723890153049e+01
1.355778894472361717e-01	1.994072813589236048e+00	1.996970845544134843e+00	5.993464058470507005e+00	1.998115867284969926e+00	5.992330384354767503e+00	7.985467548268537996e+00	1.981115154192063743e+00	2.794153667170421684e+01
2.611557788944723346e-01	1.994056160820729895e+00	1.996665678033452629e+00	5.992735669184787284e+00	1.995365128552869738e+00	5.983053087754411692e+00	7.964680116702151480e+00	1.935447391430002329e+00	2.786200323247840416e+01
3.867336683417085252e-01	1.994028965833084088e+00	1.996167426979721382e+00	5.991546399691731750e+00	1.990881001203147038e+00	5.967935717582578903e+00	7.930919090673049787e+00	1.863282067822835231e+00	2.773476066978614796e+01
5.123115577889446604e-01	1.993991229500962747e+00	1.995476244655646880e+00	5.989896586708824522e+00	1.984674972906538493e+00	5.947025664201095019e+00	7.884448885645316096e+00	1.767869633564627119e+00	2.756338321718300932e+01
6.378894472361807955e-01	1.993942952814678149e+00	1.994592342188894918e+00	5.987786697060229812e+00	1.976762907456520724e+00	5.920388271294616089e+00	7.825628813908515724e+00	1.653309057996638964e+00	2.735241104272009594e+01
7.634673366834170416e-01	1.993884137003234081e+00	1.993515989465638016e+00	5.985217327480664373e+00	1.967164970394229107e+00	5.888106434438892478e+00	7.754906040108185294e+00	1.524218139959589768e+00	2.710701303885043245e+01
8.890452261306531767e-01	1.993814783553025105e+00	1.992247514977724343e+00	5.982189204277339023e+00	1.955905534825314485e+00	5.850280094888026028e+00	7.672807049336708651e+00	1.385394368560240563e+00	2.683263855041837687e+01
1.014623115577889312e+00	1.993734894212583875e+00	1.990787305632934823e+00	5.978703182907434410e+00	1.943013068139042510e+00	5.807025633859655755e+00	7.579927937909702429e+00	1.241503565796102215e+00	2.653469558845745269e+01
1.140201005025125447e+00	1.993644470994117457e+00	1.989135806530810013e+00	5.974760247478315023e+00	1.928520000472099039e+00	5.758475173550230863e+00	7.476923862621910999e+00	1.096824196474052604e+00	2.621828375812153666e+01
1.265778894472361582e+00	1.993543516174054675e+00	1.987293520704733085e+00	5.970361510172404351e+00	1.912462575887226679e+00	5.704775791978856425e+00	7.364497991487133355e+00	9.550633743061006653e-01	2.588799828071050868e+01
1.391356783919597717e+00	1.993432032293216860e+00	1.985261008830653706e+00	5.965508210597686656e+00	1.894880687354382420e+00	5.646088659513582186e+00	7.243390288953597711e+00	8.192488898342273895e-01	2.554780977737734560e+01
1.516934673366834074e+00	1.993310022156824290e+00	1.983038888902781016e+00	5.960201715064637362e+00	1.875817696728082851e+00	5.582588105568103920e+00	7.114366443778071591e+00	6.916919640259644453e-01	2.520101483622446281e+01
1.642512562814070209e+00	1.993177488834415367e+00	1.980627835876564102e+00	5.954443515790338814e+00	1.855320241007960336e+00	5.514460624462409477e+00	6.978207211388767206e+00	5.740088487076228096e-01	2.485024576606808111e+01
1.768090452261306345e+00	1.993034435659715387e+00	1.978028581279322129e+00	5.948235230030641141e+00	1.833438026249465169e+00	5.441903829814155991e+00	6.835698398335042114e+00	4.671859530201556976e-01	2.449752445438849691e+01
1.893668341708542480e+00	1.992880866230474224e+00	1.975241912788896492e+00	5.941578599141227102e+00	1.810223610557582852e+00	5.365125367066990947e+00	6.687621668003957964e+00	3.716724172442090746e-01	2.414434444103333632e+01
2.019246231155778393e+00	1.992716784408270492e+00	1.972268673780726900e+00	5.934475487568536600e+00	1.785732177647959329e+00	5.284341793869386628e+00	6.534746297568669426e+00	2.874852802530033502e-01	2.379176649509655661e+01
2.144824120603014528e+00	1.992542194318304150e+00	1.969109762843789246e+00	5.926927881771579365e+00	1.760021302496761919e+00	5.199777437996479179e+00	6.377821968961947974e+00	2.143148751507784611e-01	2.344051542353964024e+01
2.270402010050250663e+00	1.992357100349160470e+00	1.965766133265855586e+00	5.918937889075688297e+00	1.733150710622994861e+00	5.111663242364584470e+00	6.217572633690966910e+00	1.516212207015457392e-01	2.309106893007079719e+01
2.395979899497486798e+00	1.992161507152563127e+00	1.962238792488563588e+00	5.910507736459391204e+00	1.705182032554960481e+00	5.020235606431493025e+00	6.054691453943678248e+00	9.871547435204909571e-02	2.274373260338269986e+01
2.521557788944722933e+00	1.991955419643108183e+00	1.958528801532812613e+00	5.901639769275568881e+00	1.676178555026553552e+00	4.925735232915789297e+00	5.889836791407660144e+00	5.482363052355188060e-02	2.239869820032504322e+01
2.647135678391959068e+00	1.991738842997980319e+00	1.954637274395032875e+00	5.892336449908208706e+00	1.646204970429597569e+00	4.828405988316413655e+00	5.723629190664100364e+00	1.913234966171294821e-02	2.205608506637304700e+01
2.772713567839195203e+00	1.991511782656654628e+00	1.950565377414889445e+00	5.882600356366041616e+00	1.615327126016167014e+00	4.728493785182430464e+00	5.556649285618964207e+00	-9.181068496833078713e-03	2.171596664475831417e+01
2.898291457286431339e+00	1.991274244320584197e+00	1.946314328615019962e+00	5.872434180814474658e+00	1.583611774300629271e+00	4.626245493485276583e+00	5.389436544579234933e+00	-3.093110721389487339e-02	2.137838545890132025e+01
3.023869346733667918e+00	1.991026233952868596e+00	1.941885397013421333e+00	5.861840728047243765e+00	1.551126326055891402e+00	4.521907887795557635e+00	5.222488761509408661e+00	-4.691469031464614442e-02	2.104336064405974227e+01
3.149447236180904053e+00	1.990767757777910596e+00	1.937279901909124913e+00	5.850822913899275335e+00	1.517938607233125570e+00	4.415726636276963823e+00	5.056262196911121443e+00	-5.790596795769398231e-02	2.071089204604982470e+01
3.275025125628140188e+00	1.990498822281057567e+00	1.932499212141826295e+00	5.839383763602310928e+00	1.484116621060101116e+00	4.307945336794452906e+00	4.891172270903977548e+00	-6.465184722763836489e-02	2.038096417955608786e+01
