# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.995640313754653672e+00	1.998224271575036237e+00	5.995116950881074658e+00	1.998572018291207009e+00	5.994441111929609711e+00	2.997316454099640648e+00	1.998024661533825519e+00	2.297733578206504745e+01
1.355778894472361717e-01	1.995631143436204624e+00	1.998049013475805324e+00	5.994686095022760952e+00	1.996932991583274752e+00	5.988660289956256655e+00	2.991766231994749781e+00	1.974550477255995640e+00	2.294027624272504795e+01
2.611557788944723346e-01	1.995606129626539715e+00	1.997571472185976083e+00	5.993512092711066330e+00	1.992472934289228670e+00	5.972936165104449024e+00	2.976719787965352193e+00	1.912012202043253284e+00	2.284083078392586330e+01
3.867336683417085252e-01	1.995565281256344248e+00	1.996791878879479398e+00	5.991595488382804646e+00	1.985210341796495026e+00	5.947351698380245466e+00	2.952394422639186722e+00	1.814229330299222287e+00	2.268313844163377979e+01
5.123115577889446604e-01	1.995508600028806478e+00	1.995710608159111832e+00	5.988937162698055872e+00	1.975175260204153460e+00	5.912041400386713441e+00	2.919136351755938108e+00	1.686944111439251603e+00	2.247345349467203235e+01
6.378894472361807955e-01	1.995436088124056484e+00	1.994328179311177118e+00	5.985538336390702874e+00	1.962409062107605573e+00	5.867189955189631156e+00	2.877408839584793210e+00	1.537202328139319674e+00	2.221951278884728254e+01
7.634673366834170416e-01	1.995347748299892920e+00	1.992645255846123842e+00	5.981400569159072589e+00	1.946964138618020757e+00	5.813030343404422595e+00	2.827776843538241991e+00	1.372652533152367349e+00	2.192981743201814382e+01
8.890452261306531767e-01	1.995243583906933127e+00	1.990662644888503641e+00	5.976525758180719627e+00	1.928903511730435394e+00	5.749841498261440975e+00	2.770889111171309871e+00	1.200868776203311894e+00	2.161293488434265697e+01
1.014623115577889312e+00	1.995123598892283301e+00	1.988381296432592649e+00	5.970916136298996868e+00	1.908300371588503630e+00	5.677945534646854142e+00	2.707458758436337209e+00	1.028781725973922034e+00	2.127690742226948828e+01
1.140201005025125447e+00	1.994987797800538365e+00	1.985802302466654234e+00	5.964574269889755698e+00	1.885237544014614741e+00	5.597704597568887941e+00	2.638243354308949407e+00	8.622704702618197992e-01	2.092882033631121885e+01
1.265778894472361582e+00	1.994836185773928072e+00	1.982926895967555891e+00	5.957503056412791764e+00	1.859806894406361488e+00	5.509517381761638077e+00	2.564025451967598901e+00	7.059323424463640473e-01	2.057454820873623902e+01
1.391356783919597717e+00	1.994668768552119831e+00	1.979756449767382076e+00	5.949705721652381207e+00	1.832108674729847619e+00	5.413815378101317854e+00	2.485594359704140111e+00	5.630188816056661549e-01	2.021866823411285452e+01
1.516934673366834074e+00	1.994485552471844336e+00	1.976292475293811801e+00	5.941185816651495699e+00	1.802250820858368296e+00	5.311058905117380213e+00	2.403729759292135615e+00	4.355066084232075418e-01	1.986450993810824528e+01
1.642512562814070209e+00	1.994286544466410183e+00	1.972536621186182337e+00	5.931947214344762465e+00	1.770348207905586557e+00	5.201732985124709607e+00	2.319187579826496037e+00	3.242621309486986014e-01	1.951430128380284756e+01
1.768090452261306345e+00	1.994071752065140091e+00	1.968490671789347779e+00	5.921994105895660887e+00	1.736521871482206381e+00	5.086343124418339023e+00	2.232688342476365051e+00	2.292602858475931704e-01	1.916937015397465416e+01
1.893668341708542480e+00	1.993841183392738525e+00	1.964156545527614206e+00	5.911330996743886956e+00	1.700898202963688099e+00	4.965411055634624482e+00	2.144908022510636059e+00	1.498188323804991728e-01	1.883036483915369175e+01
2.019246231155778393e+00	1.993594847168600026e+00	1.959536293161199705e+00	5.899962702369309753e+00	1.663608126895613548e+00	4.839470497903058721e+00	2.056471339580434599e+00	8.482108942878499591e-02	1.849746489650700099e+01
2.144824120603014528e+00	1.993332752706058697e+00	1.954632095927843372e+00	5.887894343779286110e+00	1.624786268587202098e+00	4.709062986929797745e+00	1.967947289692464796e+00	3.290688894318129915e-02	1.817056262656583598e+01
2.270402010050250663e+00	1.993054909911585515e+00	1.949446263572342186e+00	5.875131342726634287e+00	1.584570119758617057e+00	4.574733822828143559e+00	1.879846671469399988e+00	-7.379001190406257217e-03	1.784940412907631568e+01
2.395979899497486798e+00	1.992761329283932570e+00	1.943981232266952519e+00	5.861679416665823261e+00	1.543099209822373918e+00	4.437028178516476906e+00	1.792621330220551146e+00	-3.748405293405230460e-02	1.753368664384205999e+01
2.521557788944722933e+00	1.992452021913221349e+00	1.938239562425746909e+00	5.847544573455442318e+00	1.500514290003315931e+00	4.296487406021306299e+00	1.706664838852015809e+00	-5.878747850556638455e-02	1.722311521416548530e+01
2.647135678391959068e+00	1.992126999479983285e+00	1.932223936416147092e+00	5.832733105815282926e+00	1.456956537046383726e+00	4.153645572231916994e+00	1.622314346842332000e+00	-7.257411586714308804e-02	1.691742638196490489e+01
2.772713567839195203e+00	1.991786274254145450e+00	1.925937156171007913e+00	5.817251585546743264e+00	1.412566782738821969e+00	4.009026249726325375e+00	1.539853350084511519e+00	-8.003195215290044573e-02	1.661638944636865389e+01
2.898291457286431339e+00	1.991429859093969856e+00	1.919382140704734008e+00	5.801106857525597071e+00	1.367484774896183142e+00	3.863139582386548643e+00	1.459515159505785808e+00	-8.226174255343021713e-02	1.631979663155938809e+01
3.023869346733667918e+00	1.991057767444935678e+00	1.912561923537049235e+00	5.784306033476402042e+00	1.321848474842324705e+00	3.716479639787772626e+00	1.381486871110821690e+00	-8.028841132614304710e-02	1.602745229887316114e+01
3.149447236180904053e+00	1.990670013338575961e+00	1.905479650028140126e+00	5.766856485538191635e+00	1.275793395765256077e+00	3.569522068904610546e+00	1.305913662508817241e+00	-7.506687031088832285e-02	1.573916840577270371e+01
3.275025125628140188e+00	1.990266611391261709e+00	1.898138574629005593e+00	5.748765839631267305e+00	1.229451985665577451e+00	3.422722046629296244e+00	1.232903260786724742e+00	-6.747886936239370914e-02	1.545476944937073860e+01
3.400603015075376323e+00	1.989847576802936446e+00	1.890542058050937557e+00	5.730041968635172012e+00	1.182953057943985753e+00	3.276512532019557611e+00	1.162530444580603062e+00	-5.832156510351394624e-02	1.517410607292967839e+01
3.526180904522612458e+00	1.989412925355801054e+00	1.882693564358148386e+00	5.710692985388140741e+00	1.136421272009750849e+00	3.131302813142725849e+00	1.094841460616000850e+00	-4.829174048735020153e-02	1.489707328038321776e+01
3.651758793969848593e+00	1.988962673412949078e+00	1.874596657987638304e+00	5.690727235518479254e+00	1.089976665642994780e+00	2.987477339890010963e+00	1.029858252916626249e+00	-3.797136024510024827e-02	1.462362746512359912e+01
3.777336683417084728e+00	1.988496837916950755e+00	1.866255000700470568e+00	5.670153290118521205e+00	1.043734240218594511e+00	2.845394831212417319e+00	9.675824218139648103e-01	-2.782009642292795903e-02	1.435379652555798913e+01
3.902914572864320863e+00	1.988015436388391954e+00	1.857672348468681456e+00	5.648979938271913248e+00	9.978035993059839459e-01	2.705387642870968001e+00	9.079988495726107889e-01	-1.817867107906293370e-02	1.408767914379948749e+01
4.028492462311556999e+00	1.987518486924359618e+00	1.848852548302107657e+00	5.627216179445124311e+00	9.522886406031040307e-01	2.567761379975958214e+00	8.510789489725950618e-01	-9.283790424444663542e-03	1.382543239379880617e+01
4.154070351758793578e+00	1.987006008196881890e+00	1.839799535019462917e+00	5.604871215754136493e+00	9.072873006490049796e-01	2.432794737277387487e+00	7.967835093301388616e-01	-1.291901625165999294e-03	1.356725040460184672e+01
4.279648241206029269e+00	1.986478019451317190e+00	1.830517327968024910e+00	5.581954444117368297e+00	8.628913512916951412e-01	2.300739549315842236e+00	7.450651300651249809e-01	5.693958452068085055e-03	1.331333978066144219e+01
4.405226130653265848e+00	1.985934540504697532e+00	1.821010027696329914e+00	5.558475448305913780e+00	8.191862464680341738e-01	2.171821032097239534e+00	6.958702444134557963e-01	1.160132573899335350e-02	1.306389886522466526e+01
4.530804020100501539e+00	1.985375591744021895e+00	1.811281812584290218e+00	5.534443990902197186e+00	7.762510174820664854e-01	2.046238197859284291e+00	6.491407453522242132e-01	1.637575127247054355e-02	1.281910710719655100e+01
4.656381909547738118e+00	1.984801194124504287e+00	1.801336935435154940e+00	5.509870005178147956e+00	7.341582146473544235e-01	1.924164424693737496e+00	6.048152331007702331e-01	1.998178565825720759e-02	1.257912779283792837e+01
4.781959798994973809e+00	1.984211369167770300e+00	1.791179720033750034e+00	5.484763586903987687e+00	6.929738928870229353e-01	1.805748163219421887e+00	5.628299099830135210e-01	2.241634123368072690e-02	1.234412298342864744e+01
4.907537688442210388e+00	1.983606138960011922e+00	1.780814557675416632e+00	5.459134986098657549e+00	6.527576386609278414e-01	1.691113763111479207e+00	5.231191552830374292e-01	2.372872836896116472e-02	1.211427496815849381e+01
5.033115577889446079e+00	1.982985526150089939e+00	1.770245903670061738e+00	5.432994598732859615e+00	6.135626354106911151e-01	1.580362403032974150e+00	4.856158207830698625e-01	2.403854071405393811e-02	1.188980542849380129e+01
5.158693467336682659e+00	1.982349553947594600e+00	1.759478273825708650e+00	5.406352958395587827e+00	5.754357645777560260e-01	1.473573108341082349e+00	4.502512968358809986e-01	2.354215639547442215e-02	1.167098311231908525e+01
5.284271356783918350e+00	1.981698246120857432e+00	1.748516240915909625e+00	5.379220727934956869e+00	5.384177391543852886e-01	1.370803841814431712e+00	4.169554079896924947e-01	2.250149734871165555e-02	1.145811370127894513e+01
5.409849246231154929e+00	1.981031626994917749e+00	1.737364431135349108e+00	5.351608691083930225e+00	5.025432666694823469e-01	1.272092653540105589e+00	3.856562044869142891e-01	2.121430280481470879e-02	1.125151117671551404e+01
5.535427135678390620e+00	1.980349721449442324e+00	1.726027520547911420e+00	5.323527744081510527e+00	4.678412384871624141e-01	1.177458876985276293e+00	3.562797192999001550e-01	1.997180372145723401e-02	1.105145662457266198e+01
5.661005025125627199e+00	1.979652554916603080e+00	1.714510231531450435e+00	5.294988887299689750e+00	4.343349423027710321e-01	1.086904359142957022e+00	3.287497580884196080e-01	1.901487421167680214e-02	1.085815560749356834e+01
5.786582914572862890e+00	1.978940153378904609e+00	1.702817329223431209e+00	5.266003216886347538e+00	4.020422947554164739e-01	1.000414713474234274e+00	3.029877809376637088e-01	1.850121499352280416e-02	1.067170670364951768e+01
5.912160804020099469e+00	1.978212543366973053e+00	1.690953617971550527e+00	5.236581916434059458e+00	3.709760911347758650e-01	9.179605851660438409e-01	2.789129206670936667e-01	1.849289718117072198e-02	1.049209057192166483e+01
6.037738693467336049e+00	1.977469751957295463e+00	1.678923937793379118e+00	5.206736248684565638e+00	3.411442692400288301e-01	8.394989189845327715e-01	2.564421648116952945e-01	1.896662643334207435e-02	1.031918191790483696e+01
6.163316582914571740e+00	1.976711806769918089e+00	1.666733160848978601e+00	5.176477547278426350e+00	3.125501845472917206e-01	7.649742207328712462e-01	2.354907097013583528e-01	1.984110346109559456e-02	1.015277873333993774e+01
6.288894472361808319e+00	1.975938735966099591e+00	1.654386187930381391e+00	5.145817208559153144e+00	2.851928939562407006e-01	6.943198040251897796e-01	2.159724780145254319e-01	2.101020072268202157e-02	9.992637509174270960e+00
