# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.997492380499505504e+00	1.997983436604294560e+00	5.994700939380104288e+00	1.998055093067693244e+00	9.991061674583475716e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.298733801700994483e+01
1.355778894472361717e-01	1.997462434626198657e+00	1.997266481767140167e+00	5.992567962220907596e+00	1.985727122477559003e+00	9.881983805692037270e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.296122238166100971e+01
2.611557788944723346e-01	1.997380816006896875e+00	1.995314067452750306e+00	5.986760300967461923e+00	1.952536927643866216e+00	9.591418084244329734e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.289113392049540963e+01
3.867336683417085252e-01	1.997247539168275576e+00	1.992130237129979164e+00	5.977292392752786121e+00	1.899587646339273128e+00	9.137156755128124086e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.277997349090312440e+01
5.123115577889446604e-01	1.997062620649241893e+00	1.987721573876926051e+00	5.964187720677714744e+00	1.828600839752434482e+00	8.545832788510913103e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.263215603380740859e+01
6.378894472361807955e-01	1.996826083291192822e+00	1.982097174143780283e+00	5.947478687250565166e+00	1.741810118456601941e+00	7.849922894270470186e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.245320435256918579e+01
7.634673366834170416e-01	1.996537956287668170e+00	1.975268610531444535e+00	5.927206437540057493e+00	1.641829386924095191e+00	7.084409560706481646e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.224928334735391289e+01
8.890452261306531767e-01	1.996198275184497772e+00	1.967249884611096400e+00	5.903420635909159664e+00	1.531508180271210495e+00	6.283629576149872831e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.202673993359095128e+01
1.014623115577889312e+00	1.995807081871738164e+00	1.958057370117017637e+00	5.876179198505334433e+00	1.413786607816329699e+00	5.478717173626940218e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.179170197567311540e+01
1.140201005025125447e+00	1.995364424572324324e+00	1.947709746902162697e+00	5.845547984065902369e+00	1.291560931843725557e+00	4.695870039872870882e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.154977009137140342e+01
1.265778894472361582e+00	1.994870357828457008e+00	1.936227926104991059e+00	5.811600445959105521e+00	1.167568225882648969e+00	3.955482097184245815e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.130581516549362497e+01
1.391356783919597717e+00	1.994324942486009888e+00	1.923634967031116361e+00	5.774417248702139460e+00	1.044295422972929099e+00	3.272040187690815616e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.106387659996127759e+01
1.516934673366834074e+00	1.993728245677061084e+00	1.909955986303331965e+00	5.734085852471670464e+00	9.239149216890150118e-01	2.654592702980513308e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.082714427643912991e+01
1.642512562814070209e+00	1.993080340800600592e+00	1.895218059878019057e+00	5.690700069347151668e+00	8.082461990906104621e-01	2.107567394936840921e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.059800140861006668e+01
1.768090452261306345e+00	1.992381307501431831e+00	1.879450118564500727e+00	5.644359595200460156e+00	6.987408530262922968e-01	1.631731314759488072e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.037810500576863326e+01
1.893668341708542480e+00	1.991631231647291944e+00	1.862682837716237216e+00	5.595169521266341484e+00	5.964872531992048144e-01	1.225131299340484342e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.016848397376312541e+01
2.019246231155778393e+00	1.990830205304204403e+00	1.844948521788686513e+00	5.543239829496592996e+00	5.022304641552890470e-01	8.839120358734792182e-02	0.000000000000000000e+00	0.000000000000000000e+00	9.969640224332120937e+00
