# q (inverse Anstrom)	f(q): 1s	f(q): 2s	f(q): 2p	f(q): 3s	f(q): 3p	f(q): 3d	f(q): 4s	f(q): total
1.000000000000000021e-02	1.997161721736370188e+00	1.997984126396119997e+00	5.994673818913946128e+00	1.998365801094183603e+00	2.997297978233302462e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.498548344637392304e+01
1.355778894472361717e-01	1.997139469805686574e+00	1.997491097758682388e+00	5.993307399870324126e+00	1.991605148073859688e+00	2.981602922306250569e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.496114603781480312e+01
2.611557788944723346e-01	1.997078815320472822e+00	1.996148153927583158e+00	5.989585640556593482e+00	1.973301575067624158e+00	2.939302400394645964e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.489541658526692203e+01
3.867336683417085252e-01	1.996979768999659344e+00	1.993957174974858360e+00	5.983514258393244134e+00	1.943786502272073280e+00	2.871679245906176625e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.478991695054601152e+01
5.123115577889446604e-01	1.996842340025298812e+00	1.990921223776538351e+00	5.975102564412881456e+00	1.903588101276737943e+00	2.780739123398402679e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.464719335288985924e+01
6.378894472361807955e-01	1.996666541017831698e+00	1.987044538615276634e+00	5.964363435324703033e+00	1.853413250462901507e+00	2.669091620200286119e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.447057938562099899e+01
7.634673366834170416e-01	1.996452388098583608e+00	1.982332521664811109e+00	5.951313271287014040e+00	1.794123956755111937e+00	2.539802779841152436e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.426402491764667246e+01
8.890452261306531767e-01	1.996199900896269197e+00	1.976791724334804101e+00	5.935971942271084600e+00	1.726709517107842817e+00	2.396232856750843077e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.403190594136084357e+01
1.014623115577889312e+00	1.995909102545359026e+00	1.970429829551489265e+00	5.918362723351602739e+00	1.652255858368433250e+00	2.241873105057282434e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.377883061887416538e+01
1.140201005025125447e+00	1.995580019682008599e+00	1.963255631055014883e+00	5.898512219297670001e+00	1.571913551243812934e+00	2.080193771064354546e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.350945519234286252e+01
1.265778894472361582e+00	1.995212682438729068e+00	1.955279009806480284e+00	5.876450278894219892e+00	1.486865947313064540e+00	1.914512618399641486e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.322832053685213616e+01
1.391356783919597717e+00	1.994807124438119583e+00	1.946510907609841468e+00	5.852209899477773369e+00	1.398298751469114087e+00	1.747889879741578500e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.293971656273642523e+01
1.516934673366834074e+00	1.994363382785786509e+00	1.936963298065415895e+00	5.825827122220593957e+00	1.307372136810672325e+00	1.583052088273949831e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.264757802815641874e+01
1.642512562814070209e+00	1.993881498062479274e+00	1.926649154982550183e+00	5.797340918742865057e+00	1.215196259415754598e+00	1.422344264401296243e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.235541209560494558e+01
1.768090452261306345e+00	1.993361514315479255e+00	1.915582418388974251e+00	5.766793069673105343e+00	1.122810761539544400e+00	1.267707709936088722e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.206625547385319130e+01
1.893668341708542480e+00	1.992803479049246596e+00	1.903777958283424443e+00	5.734228035812385826e+00	1.031168586112649610e+00	1.120679297119226314e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.178265735637693190e+01
2.019246231155778393e+00	1.992207443215329388e+00	1.891251536286235435e+00	5.699692822587779872e+00	9.411241811340507191e-01	9.824075788010390164e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.150668356202443476e+01
2.144824120603014528e+00	1.991573461201554318e+00	1.878019765349702830e+00	5.663236838504784210e+00	8.534259624524500598e-01	8.536811252463348820e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.123993715275482508e+01
2.270402010050250663e+00	1.990901590820487455e+00	1.864100067696097929e+00	5.624911748326979932e+00	7.687127348196394205e-01	7.349649962196889152e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.098359113788289321e+01
