# q (inverse Angstrom) 1s2 2s2 2p3 total
1.000000000000000021e-02	1.997894982188883395e+00	1.998171923087666890e+00	2.997385198462652500e+00	6.993452103739203451e+00
1.355778894472361717e-01	1.997786194857684716e+00	1.994842385530156914e+00	2.991038000593012836e+00	6.983666580980854022e+00
2.611557788944723346e-01	1.997489765209147006e+00	1.985802083322206979e+00	2.973839659644269773e+00	6.957131508175623757e+00
3.867336683417085252e-01	1.997005828560633134e+00	1.971143294576516602e+00	2.946062374141771745e+00	6.914211497278921925e+00
5.123115577889446604e-01	1.996334601968025257e+00	1.951014490488594655e+00	2.908139498150556168e+00	6.855488590607176747e+00
6.378894472361807955e-01	1.995476386253873136e+00	1.925617214909129293e+00	2.860650206090958658e+00	6.781743807253961087e+00
7.634673366834170416e-01	1.994431565724031907e+00	1.895201917585840334e+00	2.804299616165929265e+00	6.693933099475801285e+00
8.890452261306531767e-01	1.993200607772913857e+00	1.860062889699177324e+00	2.739895571667464669e+00	6.593159069139556294e+00
1.014623115577889312e+00	1.991784062399785116e+00	1.820532476626965934e+00	2.668323405106002966e+00	6.480639944132754238e+00
1.140201005025125447e+00	1.990182561639605829e+00	1.776974760310787493e+00	2.590520023495975988e+00	6.357677345446369088e+00
1.265778894472361582e+00	1.988396818910031616e+00	1.729778911376999018e+00	2.507448564005205771e+00	6.225624294292236627e+00
1.391356783919597717e+00	1.986427628275945878e+00	1.679352409511552180e+00	2.420074697776176453e+00	6.085854735563675177e+00
1.516934673366834074e+00	1.984275863632966930e+00	1.626114320326301765e+00	2.329345432229681379e+00	5.939735616188950296e+00
1.642512562814070209e+00	1.981942477811472036e+00	1.570488799398237711e+00	2.236171006410748063e+00	5.788602283620457811e+00
1.768090452261306345e+00	1.979428501602831680e+00	1.512898970966238599e+00	2.141410215783407622e+00	5.633737688352478123e+00
1.893668341708542480e+00	1.976735042709654389e+00	1.453761301768869529e+00	2.045859263601405242e+00	5.476355608079929382e+00
2.019246231155778393e+00	1.973863284621999448e+00	1.393480561563727571e+00	1.950244030932535511e+00	5.317587877118262085e+00
2.144824120603014528e+00	1.970814485421620521e+00	1.332445432732849877e+00	1.855215495790459190e+00	5.158475413944929144e+00
2.270402010050250663e+00	1.967589976516428640e+00	1.271024803574064332e+00	1.761347917236467442e+00	4.999962697326960637e+00
2.395979899497486798e+00	1.964191161307482725e+00	1.209564754626517802e+00	1.669139331815007843e+00	4.842895247749008369e+00
2.521557788944722933e+00	1.960619513790910373e+00	1.148386225556811580e+00	1.579013883004897645e+00	4.688019622352619820e+00
2.647135678391959068e+00	1.956876577097274694e+00	1.087783332263635439e+00	1.491325513056390051e+00	4.535985422417300406e+00
2.772713567839195203e+00	1.952963961970981766e+00	1.028022290134176231e+00	1.406362583027094271e+00	4.387348835132252489e+00
2.898291457286431339e+00	1.948883345192422123e+00	9.693408897059304641e-01	1.324353043036790467e+00	4.242577277935143165e+00
3.023869346733667918e+00	1.944636467945609182e+00	9.119484650231376444e-01	1.245469842957090734e+00	4.102054775925838115e+00
3.149447236180904053e+00	1.940225134134147655e+00	8.560262922337721347e-01	1.169836346790838366e+00	3.966087773158758267e+00
3.275025125628140188e+00	1.935651208648434096e+00	8.017283558607560812e-01	1.097531585641258189e+00	3.834911150150448478e+00
3.400603015075376323e+00	1.930916615587039198e+00	7.491824220768610321e-01	1.028595249281092583e+00	3.708694286944992591e+00
