# q (inverse Angstrom) 1s2 2s2 2p6 3s2 3p6 3d5 4s2 total
1.000000000000000021e-02	1.995316073597239503e+00	1.998005720393985163e+00	5.994978345059730707e+00	1.999166810902503588e+00	5.995210738684740193e+00	4.995612097317314593e+00	1.998086171252033028e+00	2.497637595720754433e+01
1.355778894472361717e-01	1.995308360685309701e+00	1.997860970002629744e+00	5.994627376068460300e+00	1.997839472324822507e+00	5.990625729553472389e+00	4.988795778535823899e+00	1.977739075610911668e+00	2.494279676278143043e+01
2.611557788944723346e-01	1.995287316526549004e+00	1.997466542376745036e+00	5.993671016672617924e+00	1.994226548672298094e+00	5.978149435172134041e+00	4.970292933518152267e+00	1.923386481301646578e+00	2.485248027424014339e+01
3.867336683417085252e-01	1.995252950479448506e+00	1.996822595359560193e+00	5.992109628697124712e+00	1.988340198078325738e+00	5.957834298410912055e+00	4.940305019662606156e+00	1.837965348091106454e+00	2.470863003877908426e+01
5.123115577889446604e-01	1.995205263808483842e+00	1.995929383634218235e+00	5.989943794028881996e+00	1.980200190224136847e+00	5.929765470446096032e+00	4.899154841449900211e+00	1.725930038001827205e+00	2.451612898159354614e+01
6.378894472361807955e-01	1.995144258068911824e+00	1.994787260295383780e+00	5.987174319357748686e+00	1.969833786062292758e+00	5.894060114678747020e+00	4.847277969252468566e+00	1.592818677376738545e+00	2.428109638509228674e+01
7.634673366834170416e-01	1.995069935216486456e+00	1.993396676604869189e+00	5.983802235618862930e+00	1.957275571849198759e+00	5.850866452739801993e+00	4.785211461442234082e+00	1.444752015862331707e+00	2.401037434933378378e+01
8.890452261306531767e-01	1.994982297624062539e+00	1.991758181653529469e+00	5.979828797203988522e+00	1.942567249624001846e+00	5.800362567278686932e+00	4.713580440930003057e+00	1.287934179298127813e+00	2.371101371361239885e+01
1.014623115577889312e+00	1.994881348085735695e+00	1.989872421946836445e+00	5.975255480992900381e+00	1.925757386155130257e+00	5.742754977980188968e+00	4.633083148805179796e+00	1.128214519767936519e+00	2.338981928373391028e+01
1.140201005025125447e+00	1.994767089818096473e+00	1.987740140916667064e+00	5.970083985212055744e+00	1.906901122750820798e+00	5.678277010079724185e+00	4.544475124256100784e+00	9.707509075386963060e-01	2.305299538057215969e+01
